iter	Passed	Remaining
0	0	62
1	1	62
2	1	60
3	2	56
4	2	55
5	3	53
6	3	52
7	4	53
8	5	53
9	5	52
10	6	51
11	6	50
12	7	50
13	8	49
14	8	48
15	9	48
16	9	47
17	10	46
18	10	46
19	11	45
20	11	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	42
26	15	41
27	15	40
28	16	40
29	16	39
30	17	38
31	18	38
32	18	37
33	19	36
34	19	36
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	23	33
41	23	32
42	24	32
43	25	31
44	25	31
45	26	30
46	27	30
47	27	29
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	35	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	18
69	40	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	11
81	47	10
82	47	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	53	4
92	53	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
